begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
,,,,11,Other_Permanent_Faults,,,,,,,,
,,,,12,Temp_Sensor_Failure,,,,,,,,
106,1,,,,,INTEGER,,,,,,,Manufacturer_Access
107,1,,,,,FLAGS,,,,,,,BBU_Mode
,,,,0,Charging,,,,,,,,
,,,,1,Discharge,,,,,,,,
,,,,2,Cell_Balancing,,,,,,,,
,,,,3,SoH_Test,,,,,,,,
,,,,4,SoH_Test_OCV_Relaxation_Time,,,,,,,,
,,,,5,CANBUS_Communication_Failure,,,,,,,,
,,,,6,SMBUS_Communication_Failure,,,,,,,,
,,,,7,SoH_Test_Interval_Override,,,,,,,,
,,,,8,SoH_Override,,,,,,,,
,,,,9,HW_Reset_Pin_Enable_Disable,,,,,,,,
,,,,10,Variable_Charger_Manual_Override,,,,,,,,
,,,,11,PCM_Threshold_Override_Enable,,,,,,,,
,,,,12,CC_Charge_Timeout_Disable,,,,,,,,
,,,,13,System_Control_Enable,,,,,,,,
,,,,14,EOL_Threshold_Override,,,,,,,,
,,,,15,Pulse_Mgmt_Pin_Enable_Disable,,,,,,,,
108,1,,,,,FLAGS,,,,,,,Battery_Status
,,,,4,Fully_Discharged,,,,,,,,
,,,,5,Fully_Charged,,,,,,,,
,,,,6,Discharging,,,,,,,,
,,,,7,Initialized,,,,,,,,
,,,,8,Remaining_Time_Alarm,,,,,,,,
,,,,9,Remaining_Capacity_Alarm,,,,,,,,
,,,,11,Terminate_Discharge_Alarm,,,,,,,,
,,,,12,Over_Temperature_Alarm,,,,,,,,
,,,,14,Terminate_Charge_Alarm,,,,,,,,
,,,,15,Over_Charge_Alarm,,,,,,,,
109,1,,,,,INTEGER,,,,,,,Cell_Voltage1
110,1,,,,,INTEGER,,,,,,,Cell_Voltage2
111,1,,,,,INTEGER,,,,,,,Cell_Voltage3
112,1,,,,,INTEGER,,,,,,,Cell_Voltage4
113,1,,,,,INTEGER,,,,,,,Cell_Voltage5
114,1,,,,,INTEGER,,,,,,,Cell_Voltage6
115,1,,,,,INTEGER,,,,,,,Cell_Voltage7
116,1,,,,,INTEGER,,,,,,,Cell_Voltage8
117,1,,,,,INTEGER,,,,,,,Cell_Voltage9
118,1,,,,,INTEGER,,,,,,,Cell_Voltage10
119,1,,,,,INTEGER,,,,,,,Cell_Voltage11
120,1,,,,,INTEGER,,,,,,,Cell_Voltage12
121,1,,,,,INTEGER,,,,,,,SOH_Count
123,1,,,,,INTEGER,,,,,,,Size_Module_Reg_Map
133,1,,,,,INTEGER,,,,,,,Run_Time_To_Empty
134,1,,,,,INTEGER,,,,,,,Average_Time_To_Empty
135,1,,,,,INTEGER,,,,,,,Cycle_Count
136,1,,,,,INTEGER,,,,,,,Design_Capacity
137,1,,,,,INTEGER,,,,,,,Design_Voltage
138,1,,,,,INTEGER,,,,TRUE,,,At_Rate
139,1,,,,,INTEGER,,,,,,,At_Rate_Time_To_Full
140,1,,,,,INTEGER,,,,,,,At_Rate_Time_To_Empty
141,1,,,,,INTEGER,,,,,,,At_Rate_OK
142,1,,,,,INTEGER,,,,,,,SOH 
143,1,,,,,INTEGER,,,,,,,Max_Error
144,1,,,,,INTEGER,,,,,,,Charging_Current
145,1,,,,,INTEGER,,,,,,,Charging_Voltage
146,1,,,,,FLOAT,,,0,,10,,Discharge_Current
147,1,,,,,INTEGER,,,,,,,Shelf_Busbar_Voltage
148,1,,,,,INTEGER,,,,,,,Inlet_Ambient_Temperature
149,1,,,,,INTEGER,,,,,,,Outlet_Ambient_Temperature
150,1,,,,,INTEGER,,,,,,,Charge_Buck_Temperature
151,1,,,,,INTEGER,,,,,,,Discharge_Buck_Temperature
152,1,,,,,INTEGER,,,,,,,Fan_Speed
153,1,,,,,FLAGS,,,,,,,BBU_Status_Word
