begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37421,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Fan_Rack_2_Active_Power_Phase_B,Watts
37423,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Fan_Rack_2_Active_Power_Phase_C,Watts
37425,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Fan_Rack_2_Reactive_Power_Phase_A,
37427,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Fan_Rack_2_Reactive_Power_Phase_B,
37429,2,,,,,FLOAT,,,0,True,0.001,,SmartMeter_Fan_Rack_2_Reactive_Power_Phase_C,
37431,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Fan_Rack_2_Apparent_Power_Phase_A,Watts
37433,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Fan_Rack_2_Apparent_Power_Phase_B,Watts
37435,2,,,,,FLOAT,,,0,,0.001,,SmartMeter_Fan_Rack_2_Apparent_Power_Phase_C,Watts
37437,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Fan_Rack_2_THD_Va,
37438,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Fan_Rack_2_THD_Vb,
37439,1,,,,,FLOAT,,,0,,0.01,,SmartMeter_Fan_Rack_2_THD_Vc,
