begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
37211,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_N Battery_Discharging_Current,Amperes
37212,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_N_Battery_Charging_Current,Amperes
37213,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Temperature_PFC,DegreesC
37214,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Temperature_INV,DegreesC
37215,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Temperature_Bypass,DegreesC
37216,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Max_Temperature,DegreesC
37217,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Mode_Information,
37218,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Over_Temperature_Fault_Recovery_Value,DegreesC
37219,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Over_Temperature_Warning_Trigger_Value,DegreesC
37220,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Over_Temperature_Warning_Recovery_Value,DegreesC
37221,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Fault_Information,
37222,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_Shutdown_Voltage,Volts
37223,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_Low_Voltage,Volts
37224,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_High_Voltage,Volts
37241,5,,,,,STRING,,,,,,,UPS_Fan_Rack_2_LCD_FW_Version,
37248,1,,,,,FLOAT,,,0,,1,,UPS_Fan_Rack_2_Battery_Temperature,DegreesC
37696,5,,,,,STRING,,,,,,,UPS_Pump_Rack_FBPN,
37701,5,,,,,STRING,,,,,,,UPS_Fan_Rack_1_FBPN,
37706,5,,,,,STRING,,,,,,,UPS_Fan_Rack_2_FBPN,
