begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,scale,shift,name
,,,,1,Power_Boost_Converter_Fault,,,,,,,
,,,,0,Temperature_Fault,,,,,,,
154,1,,,,,FLAGS,,,,,,BBU_Status_Power_Boost
,,,,4,Power_Boost_UVP,,,,,,,
,,,,3,Power_Boost_SCP2,,,,,,,
,,,,2,Power_Boost_OVP,,,,,,,
,,,,1,Power_Boost_OCP,,,,,,,
,,,,0,Power_Boost_SCP1,,,,,,,
155,1,,,,,FLAGS,,,,,,BBU_Status_Buck_Converter
,,,,3,Buck_Output_OVP,,,,,,,
156,1,,,,,FLAGS,,,,,,BBU_Status_Charger
,,,,4,Charger_Timeout,,,,,,,
,,,,3,Charger_Output_OCP,,,,,,,
,,,,2,Charger_Output_OVP,,,,,,,
,,,,1,Charger_Input_UVP,,,,,,,
,,,,0,Charger_Input_OVP,,,,,,,
157,1,,,,,FLAGS,,,,,,BBU_Status_Temperature
,,,,5,Battery_Pack_OTP,,,,,,,
,,,,4,Power_Boost_OTP,,,,,,,
,,,,3,Buck_Converter_OTP,,,,,,,
,,,,2,Charger_OTP,,,,,,,
,,,,1,Output_Ambient_OTP,,,,,,,
,,,,0,Input_Ambient_OTP,,,,,,,
158,1,,,,,FLAGS,,,,,,End_of_Life_Status
,,,,0,BBU_EOL,,,,,,,
159,1,,,,,INTEGER,,,,,,BBU_Discharger_Output_Voltage_Inside_Oring
160,1,,,,,INTEGER,,,,,,Variable_Charge_Calculated_Current
161,1,,,,,INTEGER,,,,,,BBU_Total_Service_Time
162,1,,,,,FLAGS,,,,,,SOH_Failure_Reason
,,,,15,Discharge_Power_Less_Than_500W,,,,,,,
,,,,14,BBU_Failure,,,,,,,
,,,,13,BBU_Not_Installed,,,,,,,
,,,,12,BBU_EOL,,,,,,,
,,,,11,BBU_In_Bootloader_Mode,,,,,,,
,,,,10,BBU_Voltage_3900mV_Per_Cell,,,,,,,
,,,,9,CAN_Failure,,,,,,,
,,,,8,BBU_Backup,,,,,,,
,,,,7,Others,,,,,,,
163,1,,,,,INTEGER,,,,,,Number_of_Installed_BBUs
164,1,,,,,FLAGS,,,,,,BBU_Module_Hardware_Signals
,,,,15,SYNC_STOP_L,,,,,,,
,,,,14,PSKILL,,,,,,,
,,,,13,BBU_ALERT_L,,,,,,,
,,,,12,BBU_Reset,,,,,,,
,,,,11,SOH_L,,,,,,,
,,,,10,BKP_RED_L,,,,,,,
,,,,9,VOUT_SEL,,,,,,,
,,,,8,PLS_L,,,,,,,
,,,,7,SYNC_START_L,,,,,,,
,,,,6,A2,,,,,,,
,,,,5,A1,,,,,,,
,,,,4,A0,,,,,,,
,,,,3,RS485_Addr2,,,,,,,
,,,,2,RS485_Addr1,,,,,,,
,,,,1,RS485_Addr0,,,,,,,
165,1,,,,,FLAGS,,,,,,Battery_Pack_Hardware_Signals
,,,,15,SYS_PRES,,,,,,,
,,,,14,PF_Flag,,,,,,,
,,,,13,GG_SMD,,,,,,,
,,,,12,GG_SMC,,,,,,,
,,,,11,RTCSMD,,,,,,,
,,,,10,RTCSMC,,,,,,,
,,,,7,BMS_Not_Insert,,,,,,,
,,,,5,PSU_Fault_L,,,,,,,
,,,,4,BMS_Fail,,,,,,,
,,,,2,BMS_SoH,,,,,,,
,,,,1,BMS_Charge_Enable,,,,,,,
,,,,0,BMS_Stop_Discharge,,,,,,,
166,1,,,,,FLAGS,,,,,,LED_Status
,,,,7,FAULT_LOC_LED_Blink,,,,,,,
,,,,6,FAULT_LOC_LED_On,,,,,,,
,,,,5,EOL_LED_Blink,,,,,,,
,,,,4,EOL_LED_On,,,,,,,
,,,,3,LOWV_LED_Blink,,,,,,,
,,,,2,LOWV_LED_On,,,,,,,
,,,,1,Power_Good_LED_Blink,,,,,,,
,,,,0,Power_Good_LED_On,,,,,,,
167,1,,,,,INTEGER,,,,,,Count_of_Discharge_Events
168,1,,,,,FLAGS,,,,,,SOH_Not_Start_Reason
,,,,15,Discharge_Power_Less_Than_500W,,,,,,,
,,,,14,BBU_Failure,,,,,,,
,,,,13,BBU_Not_Installed,,,,,,,
,,,,12,BBU_EOL,,,,,,,
,,,,11,BBU_In_Bootloader_Mode,,,,,,,
,,,,10,BBU_Voltage_3900mV_Per_Cell,,,,,,,
,,,,9,CAN_Failure,,,,,,,
,,,,8,Other,,,,,,,
179,1,,,,,INTEGER,,,,,,Battery_Pack_Charge_Failure
