begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
12321,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Cell_Minimum_Temperature,
12322,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_1,
12323,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_2,
12324,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_3,
12325,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_4,
12326,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_5,
12327,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_6,
12328,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_7,
12329,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_8,
12330,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_9,
12331,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_10,
12332,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_11,
12333,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_12,
12334,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_13,
12335,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_1_Cell_Voltage_14,
12336,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Cell_Temperature_1,
12337,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Cell_Temperature_2,
12338,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Cell_Temperature_3,
12339,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_Cell_Temperature_4,
12340,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_DMOSFET_Temperature,
12341,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_1_CMOSFET_Temperature,
12342,1,,,,,INTEGER,,,,,,,BBU_Module_1_SOH_test_phase,
12343,1,,,,,INTEGER,,,,,,,BBU_Module_1_SOH_test_result,
12344,1,,,,,INTEGER,,,,,,,BBU_Module_1_SOH,
12345,2,,,,,INTEGER,,,,,,,BBU_Module_1_SOH_Test_Unix_Time,
12347,2,,,,,INTEGER,,,,,,,BBU_Module_1_SOH_BMS_Unix_Time,
12356,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Maximum_Charging_Voltage,
12357,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_2_Maximum_Charging_Current,
12358,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Maximum_Charging_Temperature,
12359,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Minimum_Charging_Temperature,
12360,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Discharging_Cutoff_Voltage,
12361,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_2_Maximum_Discharging_Current,
12362,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Maximum_Discharging_Temperature,
12363,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Minimum_Discharging_Temperature,
12364,1,,,,,INTEGER,,,,,,,BBU_Module_2_Firmware_CRC,
12365,1,,,,,INTEGER,,,,,,,BBU_Module_2_BMS_Data_Version,
