begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
97,1,,,,,INTEGER,,,,,,,Module_CRC_Error_Counter_2
98,1,,,,,INTEGER,,,,,,,Module_CRC_Error_Counter_3
99,1,,,,,INTEGER,,,,,,,Module_CRC_Error_Counter_4
100,1,,,,,INTEGER,,,,,,,Module_CRC_Error_Counter_5
101,1,,,,,INTEGER,,,,,,,Module_CRC_Error_Counter_6
102,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_1
103,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_2
104,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_3
105,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_4
106,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_5
107,1,,,,,INTEGER,,,,,,,Module_Timeout_Error_Counter_6
112,1,,,,,INTEGER,,,,,,,This_Shelf_Location
113,1,,,,,INTEGER,,,,,,,This_PMM_Modbus_Address
114,1,,,,,INTEGER,,,,,,,W400_Port_Number
115,1,,,,,INTEGER,,,,,,,Next_PSU_Shelf_Location_Received
116,1,,,,,INTEGER,,,,,,,Next_BBU_Shelf_Location_Received
117,1,,,,,INTEGER,,,,,,,Next_PSU_Shelf_Location_Sent
118,1,,,,,INTEGER,,,,,,,Next_BBU_Shelf_Location_Sent
119,2,,,,,INTEGER,,,,,,,Power_Off_System_Unix_Time
121,1,,,,,INTEGER,,,,,,,Modbus_Baud_Rate
122,1,,,,,INTEGER,,,,,,,Operation_Mode
123,1,,,,,INTEGER,,,,,,,Stop_Shelf_level_Module_Polling
124,1,,,,,FLAGS,,,,,,,Digital_Outputs_Test
,,,,0,RJ485_Port2_Addr0,,,,,,,,
,,,,1,RJ485_Port2_Addr1,,,,,,,,
,,,,2,RJ485_Port2_Addr2,,,,,,,,
,,,,4,Internal_Device_Addr0,,,,,,,,
,,,,5,Internal_Device_Addr1,,,,,,,,
,,,,6,Internal_Device_Addr2,,,,,,,,
,,,,7,Internal_Device_Addr3,,,,,,,,
,,,,8,Amber_LED,,,,,,,,
,,,,9,Blue_LED,,,,,,,,
,,,,11,Shelf_EEPROM_Write_Protect,,,,,,,,
,,,,15,Test_Mode_Enable,,,,,,,,
