begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
159,1,,,,,FLOAT,,,0,,0.001,,CBU_Output_Voltage_Inside_Oring,
161,1,,,,,FLOAT,,,0,,2,,CBU_Total_Service_Time,
163,1,,,,,INTEGER,,,,,,,Number_of_Installed_CBUs,
164,1,,,,,FLAGS,,,,,,,CBU_Module_Hardware_Signals,
,,,,14,PSKILL,,,,,,,,,
,,,,13,CBU_ALERT_L,,,,,,,,,
,,,,12,CBU_Reset,,,,,,,,,
,,,,10,AC_Loss_1_L,,,,,,,,,
,,,,8,Daisy_Chain_CBU,,,,,,,,,
,,,,6,A2,,,,,,,,,
,,,,5,A1,,,,,,,,,
,,,,4,A0,,,,,,,,,
,,,,3,Shelf_Addr_Int_2,,,,,,,,,
,,,,2,Shelf_Addr_Int_1,,,,,,,,,
,,,,1,Shelf_Addr_Int_0,,,,,,,,,
,,,,0,Ishare_Cable_Detection,,,,,,,,,
166,1,,,,,FLAGS,,,,,,,LED_Status,
,,,,0,Power_Good_On,,,,,,,,,
,,,,1,Power_Good_Blink,,,,,,,,,
,,,,2,LOWV_On,,,,,,,,,
,,,,3,LOWV_Blink,,,,,,,,,
,,,,4,EOL_On,,,,,,,,,
,,,,5,EOL_Blink,,,,,,,,,
,,,,6,Fault_Loc_On,,,,,,,,,
,,,,7,Fault_Loc_Blink,,,,,,,,,
224,1,,,,,FLOAT,,,0,,0.001,,Bus_Voltage_Max_Since_Power_On,
225,1,,,,,FLOAT,,,0,,0.001,,Bus_Voltage_Min_Since_Power_On,
226,1,,,,,FLOAT,,,0,,0.001,,Bus_Voltage_Max_Over_Period,
227,1,,,,,FLOAT,,,0,,0.001,,Bus_Voltage_Min_Over_Period,
228,1,,,,,INTEGER,,,,,,,AC_Loss_1_Count_Requested,
234,1,,,,,INTEGER,,,,,,,Shelf_Location,
235,1,,,,,FLOAT,,,0,,0.1,-273.15,Highest_Of_Temp1_To_Temp4,
237,2,,,,,INTEGER,,,,,,,Power_Off_Unix_Time,
288,1,,,,,INTEGER,,,,,,,Variable_Modbus_Baud_Rate,
289,1,,,,,INTEGER,,,,,,,Configurable_CBU_Maximum_Power,
290,1,,,,,INTEGER,,,,,,,Configurable_CBU_Maximum_PreCharge_Power,
292,1,,,,,FLAGS,,,,,,,LED_Override,
,,,,0,Fault_Loc_Blink,,,,,,,,,
293,1,,,,,INTEGER,,,,,,,Fan_Speed_Override,
304,1,,,,,INTEGER,,,,,,,EOL_Threshold_Override,
306,1,,,,,INTEGER,,,,,,,System_Control_Mode,
313,1,,,,,FLAGS,,,,,,,CBU_Clear_Fault,
,,,,0,Clear_CBU_Faults_And_Latch,,,,,,,,,
