C17,-,SCU94[6]=1,NRI6,SCU90[7]=1,GPIOH3,,
A17,-,SCU94[7]=1,NDTR6,SCU90[7]=1,GPIOH4,,
B17,-,SCU94[7]=1,NRTS6,SCU90[7]=1,GPIOH5,,
A16,TXD6,SCU90[7]=1,GPIOH6,,,,
D18,RXD6,SCU90[7]=1,GPIOH7,,,,
C18,SYSCS#,Strap[13]=1,GPIOI0,,,,
E15,SYSCK,Strap[13]=1,GPIOI1,,,,
B16,SYSMOSI,Strap[13]=1,GPIOI2,,,,
C16,SYSMISO,Strap[13]=1,GPIOI3,,,,
B15,SPI1CS0#,Strap[13:12]!=0,VBCS#,Strap[5]=1,GPIOI4,,
C15,SPI1CK,Strap[13:12]!=0,VBCK,Strap[5]=1,GPIOI5,,
A14,SPI1MOSI,Strap[13:12]!=0,VBMOSI,Strap[5]=1,GPIOI6,,
A15,SPI1MISO,Strap[13:12]!=0,VBMISO,Strap[5]=1,GPIOI7,,
R2,SGPMCK,SCU84[8]=1,GPIOJ0,,,,
L2,SGPMLD,SCU84[9]=1,GPIOJ1,,,,
N3,SGPMO,SCU84[10]=1,GPIOJ2,,,,
N4,SGPMI,SCU84[11]=1,GPIOJ3,,,,
N5,VGAHS,SCU84[12]=1,-,SCU94[8]=1,GPIOJ4,,
R4,VGAVS,SCU84[13]=1,-,SCU94[8]=1,GPIOJ5,,
R3,DDCCLK,SCU84[14]=1,-,SCU94[9]=1,GPIOJ6,,
T3,DDCDAT,SCU84[15]=1,-,SCU94[9]=1,GPIOJ7,,
,,,,,,,
L3,SCL5,SCU90[18]=1,GPIOK0,,,,
L4,SDA5,SCU90[18]=1,GPIOK1,,,,
L1,SCL6,SCU90[19]=1,GPIOK2,,,,
N2,SDA6,SCU90[19]=1,GPIOK3,,,,
N1,SCL7,SCU90[20]=1,GPIOK4,,,,
P1,SDA7,SCU90[20]=1,GPIOK5,,,,
P2,SCL8,SCU90[21]=1,GPIOK6,,,,
R1,SDA8,SCU90[21]=1,GPIOK7,,,,
T2,NCTS1,SCU84[16]=1,GPIOL0,,,,
T1,VPIDE,SCU90[5]=1 & SCU84[17]=1 & SCU94[1:0]=0,NDCD1,SCU84[17]=1 & SCU94[1:0]=0,GPIOL1,,
U1,-,SCU90[5]=1 & SCU84[18]=1,NDSR1,SCU84[18]=1,GPIOL2,,
U2,VPIHS,SCU90[5]=1 & SCU84[19]=1 & SCU94[1:0]=0,NRI1,SCU84[19]=1 & SCU94[1:0]=0,GPIOL3,,
P4,VPIVS,SCU90[5]=1 & SCU84[20]=1 & SCU94[1:0]=0,NDTR1,SCU84[20]=1 & SCU94[1:0]=0,GPIOL4,,
P3,VPICLK,SCU90[5]=1 & SCU84[21]=1 & SCU94[1:0]=0,NRTS1,SCU84[21]=1 & SCU94[1:0]=0,GPIOL5,,
V1,-,SCU90[5:4]=11 & SCU84[22]=1,TXD1,SCU84[22]=1 & SCU94[1:0]=0,GPIOL6,,
W1,-,SCU90[5:4]=11 & SCU84[23]=1,RXD1,SCU84[23]=1 & SCU94[1:0]=0,GPIOL7,,
Y1,VPIB2,SCU90[5]=1 & SCU84[24]=1 & SCU94[1:0]=0,NCTS2,SCU84[24]=1 & SCU94[1:0]=0,GPIOM0,,
AB2,VPIB3,SCU90[5]=1 & SCU84[25]=1 & SCU94[1:0]=0,NDCD2,SCU84[25]=1 & SCU94[1:0]=0,GPIOM1,,
AA1,VPIB4,SCU90[5]=1 & SCU84[26]=1 & SCU94[1:0]=0,NDSR2,SCU84[26]=1 & SCU94[1:0]=0,GPIOM2,,
Y2,VPIB5,SCU90[5]=1 & SCU84[27]=1 & SCU94[1:0]=0,NRI2,SCU84[27]=1 & SCU94[1:0]=0,GPIOM3,,
AA2,VPIB6,SCU90[5]=1 & SCU84[28]=1 & SCU94[1:0]=0,NDTR2,SCU84[28]=1 & SCU94[1:0]=0,GPIOM4,,
P5,VPIB7,SCU90[5]=1 & SCU84[29]=1 & SCU94[1:0]=0,NRTS2,SCU84[29]=1 & SCU94[1:0]=0,GPIOM5,,
R5,VPIB8,SCU90[5]=1 & SCU84[30]=1 & SCU94[1:0]=0,TXD2,SCU84[30]=1 & SCU94[1:0]=0,GPIOM6,,
T5,VPIB9,SCU90[5]=1 & SCU84[31]=1 & SCU94[1:0]=0,RXD2,SCU84[31]=1 & SCU94[1:0]=0,GPIOM7,,
V2,-,SCU90[5:4]=11 & SCU88[0]=1,PWM0,SCU88[0]=1 & SCU94[1:0]=0,GPION0,,
W2,-,SCU90[5:4]=11 & SCU88[1]=1,PWM1,SCU88[1]=1 & SCU94[1:0]=0,GPION1,,
V3,VPIG2,SCU90[5]=1 & SCU88[2]=1 & SCU94[1:0]=0,PWM2,SCU88[2]=1 & SCU94[1:0]=0,GPION2,,
U3,VPIG3,SCU90[5]=1 & SCU88[3]=1 & SCU94[1:0]=0,PWM3,SCU88[3]=1 & SCU94[1:0]=0,GPION3,,
,,,,,,,
W3,VPIG4,SCU90[5]=1 & SCU88[4]=1 & SCU94[1:0]=0,PWM4,SCU88[4]=1 & SCU94[1:0]=0,GPION4,,
AA3,VPIG5,SCU90[5]=1 & SCU88[5]=1 & SCU94[1:0]=0,PWM5,SCU88[5]=1 & SCU94[1:0]=0,GPION5,,
Y3,VPIG6,SCU90[5:4]=10 & SCU88[6]=1 & SCU94[1:0]=0,PWM6,SCU88[6]=1 & SCU94[1:0]=0,GPION6,,
T4,VPIG7,SCU90[5:4]=10 & SCU88[7]=1 & SCU94[1:0]=0,PWM7,SCU88[7]=1 & SCU94[1:0]=0,GPION7,,
U5,VPIG8,SCU90[5:4]=10 & SCU88[8]=1 & SCU94[1:0]=0,GPIOO0/TACH0,,,,
U4,VPIG9,SCU90[5:4]=10 & SCU88[9]=1 & SCU94[1:0]=0,GPIOO1/TACH1,,,,
V5,-,SCU90[5:4]=11 & SCU88[10]=1,GPIOO2/TACH2,,,,
AB4,-,SCU90[5:4]=11 & SCU88[11]=1,GPIOO3/TACH3,,,,
AB3,VPIR2,SCU90[5:4]=10 & SCU88[12]=1 & SCU94[1:0]=0,GPIOO4/TACH4,,,,
Y4,VPIR3,SCU90[5:4]=10 & SCU88[13]=1 & SCU94[1:0]=0,GPIOO5/TACH5,,,,
AA4,VPIR4,SCU90[5:4]=10 & SCU88[14]=1 & SCU94[1:0]=0,GPIOO6/TACH6,,,,
